longitude,latitude,city,name,rating,reviews_count,price_turkey_shawarma_pita,price_cow_shawarma_pita,price_turkey_shawarma_laffa,price_cow_shawarma_laffa,price_falafel_pita,price_falafel_laffa,price_small_fries,price_big_fries,price_drink,car_park_nearby,price_source,price_notes,google_maps_url
34.7785556,32.0596082,תל אביב,שווארמה ראש העיר ת״א,4.5,936,52,59,74,75,26,32,16,27,11,True,estimated,"Estimated prices, not verified from menu.",https://www.google.com/maps/place/%D7%A9%D7%95%D7%95%D7%90%D7%A8%D7%9E%D7%94+%D7%A8%D7%90%D7%A9+%D7%94%D7%A2%D7%99%D7%A8+%D7%AA%D7%B4%D7%90%E2%80%AD/data=!4m7!3m6!1s0x151d4bdb81611377:0x9aa91354cf30d2c4!8m2!3d32.0596082!4d34.7785556!16s%2Fg%2F1td_80g8!19sChIJdxNhgdtLHRURxNIwz1QTqZo?authuser=0&hl=iw&rclk=1
34.7909905,32.0535767,תל אביב,פינת השווארמה תל אביב,3.9,320,56,60,65,75,26,33,17,26,12,False,estimated,"Estimated prices, not verified from menu.",https://www.google.com/maps/place/%D7%A4%D7%99%D7%A0%D7%AA+%D7%94%D7%A9%D7%95%D7%95%D7%90%D7%A8%D7%9E%D7%94+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91%E2%80%AD/data=!4m7!3m6!1s0x151d4b0fed9870f9:0xf1cbd498fbf3edbd!8m2!3d32.0535767!4d34.7909905!16s%2Fg%2F11j23w5n4s!19sChIJ-XCY7Q9LHRURve3z-5jUy_E?authuser=0&hl=iw&rclk=1
34.7785556,32.0596082,תל אביב,שווארמה אריה,4.6,47,57,63,67,80,25,35,16,28,11,True,estimated,"Estimated prices, not verified from menu.",https://www.google.com/maps/place/%D7%A9%D7%95%D7%95%D7%90%D7%A8%D7%9E%D7%94+%D7%90%D7%A8%D7%99%D7%94%E2%80%AD/data=!4m7!3m6!1s0x151d4b63757507e3:0x1429da06996d6de9!8m2!3d32.0596082!4d34.7785556!16s%2Fg%2F11b6vf61tk!19sChIJ4wd1dWNLHRUR6W1tmQbaKRQ?authuser=0&hl=iw&rclk=1
34.7958491,32.1190434,תל אביב,שווארמה אסולין,4.6,55,58,65,65,80,24,35,18,27,12,True,estimated,"Estimated prices, not verified from menu.",https://www.google.com/maps/place/%D7%A9%D7%95%D7%95%D7%90%D7%A8%D7%9E%D7%94+%D7%90%D7%A1%D7%95%D7%9C%D7%99%D7%9F%E2%80%AD/data=!4m7!3m6!1s0x151d490035e0f087:0xbdfeec59bd1eaeb6!8m2!3d32.1190434!4d34.7958491!16s%2Fg%2F11n3lk1zm4!19sChIJh_DgNQBJHRURtq4evVns_r0?authuser=0&hl=iw&rclk=1
34.7707356,32.0561868,תל אביב,שווארמה מפגש הברכה,4.9,170,51,59,65,73,25,31,16,27,11,True,estimated,"Estimated prices, not verified from menu.",https://www.google.com/maps/place/%D7%A9%D7%95%D7%95%D7%90%D7%A8%D7%9E%D7%94+%D7%9E%D7%A4%D7%92%D7%A9+%D7%94%D7%91%D7%A8%D7%9B%D7%94%E2%80%AD/data=!4m7!3m6!1s0x151d4d29bda5345f:0xa60ac93f4a82c451!8m2!3d32.0561868!4d34.7707356!16s%2Fg%2F11kp58v08c!19sChIJXzSlvSlNHRURUcSCSj_JCqY?authuser=0&hl=iw&rclk=1
34.774643,32.0960987,תל אביב,Shabu Shawarma & Grill - שאבו שווארמה,4.1,379,50,62,67,81,23,31,17,28,11,True,estimated,"Estimated prices, not verified from menu.",https://www.google.com/maps/place/Shabu+Shawarma+%26+Grill+-+%D7%A9%D7%90%D7%91%D7%95+%D7%A9%D7%95%D7%95%D7%90%D7%A8%D7%9E%D7%94%E2%80%AD/data=!4m7!3m6!1s0x151d4b9880314d11:0xdebb150a431ebdeb!8m2!3d32.0960987!4d34.774643!16s%2Fg%2F11tdns9mxx!19sChIJEU0xgJhLHRUR670eQwoVu94?authuser=0&hl=iw&rclk=1
34.7700692,32.0704895,תל אביב,שווארמה בון טעם,4.1,563,55,64,71,75,26,36,15,29,11,False,estimated,"Estimated prices, not verified from menu.",https://www.google.com/maps/place/%D7%A9%D7%95%D7%95%D7%90%D7%A8%D7%9E%D7%94+%D7%91%D7%95%D7%9F+%D7%98%D7%A2%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x151d4c816a39ad39:0x7b288bd072beb260!8m2!3d32.0704895!4d34.7700692!16s%2Fg%2F1tpx22zr!19sChIJOa05aoFMHRURYLK-ctCLKHs?authuser=0&hl=iw&rclk=1
34.7815765,32.0797764,תל אביב,דבוש שווארמה אבן גבירול,3.7,1258,54,59,75,73,24,31,16,26,11,False,estimated,"Estimated prices, not verified from menu.",https://www.google.com/maps/place/%D7%93%D7%91%D7%95%D7%A9+%D7%A9%D7%95%D7%95%D7%90%D7%A8%D7%9E%D7%94+%D7%90%D7%91%D7%9F+%D7%92%D7%91%D7%99%D7%A8%D7%95%D7%9C%E2%80%AD/data=!4m7!3m6!1s0x151d4b85bde8ad81:0x63559bc511f7a47c!8m2!3d32.0797764!4d34.7815765!16s%2Fg%2F1ydpv9zmt!19sChIJga3ovYVLHRURfKT3EcWbVWM?authuser=0&hl=iw&rclk=1
34.796657,32.075209,גבעתיים,שווארמה נחלת יצחק,4.1,1170,54,60,69,75,26,31,17,28,11,True,estimated,"Estimated prices, not verified from menu.",https://www.google.com/maps/place/%D7%A9%D7%95%D7%95%D7%90%D7%A8%D7%9E%D7%94+%D7%A0%D7%97%D7%9C%D7%AA+%D7%99%D7%A6%D7%97%D7%A7%E2%80%AD/data=!4m7!3m6!1s0x151d4ba2a1922093:0xd90fca5a320a6f13!8m2!3d32.075209!4d34.796657!16s%2Fg%2F11cjvbswnh!19sChIJkyCSoaJLHRURE28KMlrKD9k?authuser=0&hl=iw&rclk=1
34.7662055,32.0676819,תל אביב,שווארמה הכרמל Shawarma Carmel,4.1,250,57,61,70,75,23,32,16,28,12,True,estimated,"Estimated prices, not verified from menu.",https://www.google.com/maps/place/%D7%A9%D7%95%D7%95%D7%90%D7%A8%D7%9E%D7%94+%D7%94%D7%9B%D7%A8%D7%9E%D7%9C+Shawarma+Carmel%E2%80%AD/data=!4m7!3m6!1s0x151d4c845f3e1ea7:0x78dec17632b8fa22!8m2!3d32.0676819!4d34.7662055!16s%2Fg%2F11f2smrvsv!19sChIJpx4-X4RMHRURIvq4MnbB3ng?authuser=0&hl=iw&rclk=1
